Metin,Durum,metin_lower,metin_cleaned,metin_tokenized,metin_nostop,metin_lemmatized,metin_stemmed
Keskin bir makina jilet gibi kesmiyor ama jilete yakın bir performans sergiliyor baştan söyleyim ben öyle jilet gibi pürüzsüz kescem diyor isen bu sana göre değil ama jiletten sonraki bir gün ki sakal hali oluyor tek sıkıntı bağzı yerlerde özellikle boğaz kısmında derimi kesti onun haricinde fiyat performans açısından üst düzey,2,keskin bir makina jilet gibi kesmiyor ama jilete yakın bir performans sergiliyor baştan söyleyim ben öyle jilet gibi pürüzsüz kescem diyor isen bu sana göre değil ama jiletten sonraki bir gün ki sakal hali oluyor tek sıkıntı bağzı yerlerde özellikle boğaz kısmında derimi kesti onun haricinde fiyat performans açısından üst düzey,keskin bir makina jilet gibi kesmiyor ama jilete yakın bir performans sergiliyor baştan söyleyim ben öyle jilet gibi pürüzsüz kescem diyor isen bu sana göre değil ama jiletten sonraki bir gün ki sakal hali oluyor tek sıkıntı bağzı yerlerde özellikle boğaz kısmında derimi kesti onun haricinde fiyat performans açısından üst düzey,"['keskin', 'bir', 'makina', 'jilet', 'gibi', 'kesmiyor', 'ama', 'jilete', 'yakın', 'bir', 'performans', 'sergiliyor', 'baştan', 'söyleyim', 'ben', 'öyle', 'jilet', 'gibi', 'pürüzsüz', 'kescem', 'diyor', 'isen', 'bu', 'sana', 'göre', 'değil', 'ama', 'jiletten', 'sonraki', 'bir', 'gün', 'ki', 'sakal', 'hali', 'oluyor', 'tek', 'sıkıntı', 'bağzı', 'yerlerde', 'özellikle', 'boğaz', 'kısmında', 'derimi', 'kesti', 'onun', 'haricinde', 'fiyat', 'performans', 'açısından', 'üst', 'düzey']","['keskin', 'bir', 'makina', 'jilet', 'kesmiyor', 'jilete', 'yakın', 'bir', 'performans', 'sergiliyor', 'baştan', 'söyleyim', 'ben', 'öyle', 'jilet', 'pürüzsüz', 'kescem', 'diyor', 'isen', 'sana', 'göre', 'değil', 'jiletten', 'sonraki', 'bir', 'gün', 'sakal', 'hali', 'oluyor', 'tek', 'sıkıntı', 'bağzı', 'yerlerde', 'özellikle', 'boğaz', 'kısmında', 'derimi', 'kesti', 'onun', 'haricinde', 'fiyat', 'performans', 'açısından', 'üst', 'düzey']","['keskin', 'bir', '', 'jilet', 'kes', 'jilet', 'yak', 'bir', 'performans', 'sergili', 'baştan', '', 'ben', 'öyle', 'jilet', 'pürüzsüz', 'kes', 'de', 'isen', 'sana', 'göre', 'değil', 'jilet', 'sonraki', 'bir', 'gün', 'sakal', 'hali', 'ol', 'tek', 'sıkıntı', '', 'yer', 'özellik', 'boğaz', 'kısım', 'deri', 'kes', 'on', 'haricî', 'fiyat', 'performans', 'açı', 'üst', 'düzey']","['keskin', 'bir', '', 'jilet', 'ke', 'jilet', 'yak', 'bir', 'performan', 'sergili', 'baştan', '', 'ben', 'öyle', 'jilet', 'pürüzsüz', 'ke', 'de', 'isen', 'sana', 'göre', 'değil', 'jilet', 'sonraki', 'bir', 'gün', 'sakal', 'hali', 'ol', 'tek', 'sıkıntı', '', 'yer', 'özellik', 'boğaz', 'kısım', 'deri', 'ke', 'on', 'haricî', 'fiyat', 'performan', 'açı', 'üst', 'düzey']"
Denemesini yaptım sakalda sıfır almıyor bir günlük gibi alıyor ama kullanışlı ve sağlam bir makine.Beklentimi karşıladı.,2,denemesini yaptım sakalda sıfır almıyor bir günlük gibi alıyor ama kullanışlı ve sağlam bir makine.beklentimi karşıladı.,denemesini yaptım sakalda sıfır almıyor bir günlük gibi alıyor ama kullanışlı ve sağlam bir makine.beklentimi karşıladı.,"['denemesini', 'yaptım', 'sakalda', 'sıfır', 'almıyor', 'bir', 'günlük', 'gibi', 'alıyor', 'ama', 'kullanışlı', 've', 'sağlam', 'bir', 'makinebeklentimi', 'karşıladı']","['denemesini', 'yaptım', 'sakalda', 'sıfır', 'almıyor', 'bir', 'günlük', 'alıyor', 'kullanışlı', 'sağlam', 'bir', 'makinebeklentimi', 'karşıladı']","['deneme', 'yap', 'sakal', 'sıfır', 'al', 'bir', 'günlük', 'al', 'kullanışlı', 'sağlam', 'bir', '', 'karşıla']","['denem', 'yap', 'sakal', 'sıfır', 'al', 'bir', 'günlük', 'al', 'kullanışlı', 'sağlam', 'bir', '', 'karşıla']"
Kardeşime aldım çok beğendi kaliteli güzel kargoda çok hızlıydı,1,kardeşime aldım çok beğendi kaliteli güzel kargoda çok hızlıydı,kardeşime aldım çok beğendi kaliteli güzel kargoda çok hızlıydı,"['kardeşime', 'aldım', 'çok', 'beğendi', 'kaliteli', 'güzel', 'kargoda', 'çok', 'hızlıydı']","['kardeşime', 'aldım', 'beğendi', 'kaliteli', 'güzel', 'kargoda', 'hızlıydı']","['kardeş', 'al', 'beğen', 'kaliteli', 'güzel', 'kargo', 'hızlı']","['kardeş', 'al', 'beğen', 'kalit', 'güzel', 'kargo', 'hızlı']"
"Süreç kaynaklı tabi biraz geç geldi,babam sakal kesmede başarısız olmuş :) ama saç iyi diyor",2,"süreç kaynaklı tabi biraz geç geldi,babam sakal kesmede başarısız olmuş :) ama saç iyi diyor","süreç kaynaklı tabi biraz geç geldi,babam sakal kesmede başarısız olmuş :) ama saç iyi diyor","['süreç', 'kaynaklı', 'tabi', 'biraz', 'geç', 'geldibabam', 'sakal', 'kesmede', 'başarısız', 'olmuş', 'ama', 'saç', 'iyi', 'diyor']","['süreç', 'kaynaklı', 'tabi', 'biraz', 'geç', 'geldibabam', 'sakal', 'kesmede', 'başarısız', 'olmuş', 'saç', 'iyi', 'diyor']","['süreç', 'kaynaklı', 'tabi', 'biraz', 'geç', '', 'sakal', 'kesme', 'başarısız', 'olmuş', 'saç', 'iyi', 'de']","['süreç', 'kaynaklı', 'tabi', 'biraz', 'geç', '', 'sakal', 'kesm', 'başarısız', 'olmuş', 'saç', 'iyi', 'de']"
Lazer epilasyona gittiğim için aldım iş görür kaliteli,1,lazer epilasyona gittiğim için aldım iş görür kaliteli,lazer epilasyona gittiğim için aldım iş görür kaliteli,"['lazer', 'epilasyona', 'gittiğim', 'için', 'aldım', 'iş', 'görür', 'kaliteli']","['lazer', 'epilasyona', 'gittiğim', 'aldım', 'iş', 'görür', 'kaliteli']","['lazer', 'epilasyon', 'gittik', 'al', 'iş', 'gör', 'kaliteli']","['lazer', 'epilasyon', 'gittik', 'al', 'iş', 'gör', 'kalit']"
Ürünü çok beğendim tereddüt de olan varsa almasını öneririm,1,ürünü çok beğendim tereddüt de olan varsa almasını öneririm,ürünü çok beğendim tereddüt de olan varsa almasını öneririm,"['ürünü', 'çok', 'beğendim', 'tereddüt', 'de', 'olan', 'varsa', 'almasını', 'öneririm']","['ürünü', 'beğendim', 'tereddüt', 'olan', 'varsa', 'almasını', 'öneririm']","['ürün', 'beğen', 'tereddüt', 'olan', 'var', 'alma', 'öner']","['ürün', 'beğen', 'tereddüt', 'olan', 'var', 'alma', 'öner']"
"Guzel ürün, çok hızlı kargo ile geldı, teşekkürler trend yol..",1,"guzel ürün, çok hızlı kargo ile geldı, teşekkürler trend yol..","guzel ürün, çok hızlı kargo ile geldı, teşekkürler trend yol..","['guzel', 'ürün', 'çok', 'hızlı', 'kargo', 'ile', 'geldı', 'teşekkürler', 'trend', 'yol']","['guzel', 'ürün', 'hızlı', 'kargo', 'geldı', 'teşekkürler', 'trend', 'yol']","['', 'ürün', 'hızlı', 'kargo', '', 'teşekkür', '', 'yol']","['', 'ürün', 'hızlı', 'kargo', '', 'teşekkür', '', 'yol']"
ertesi gün geldi tamamiyle doğru ürün tavsiye ederim,1,ertesi gün geldi tamamiyle doğru ürün tavsiye ederim,ertesi gün geldi tamamiyle doğru ürün tavsiye ederim,"['ertesi', 'gün', 'geldi', 'tamamiyle', 'doğru', 'ürün', 'tavsiye', 'ederim']","['ertesi', 'gün', 'geldi', 'tamamiyle', 'doğru', 'ürün', 'tavsiye', 'ederim']","['ertesi', 'gün', 'gel', '', 'doğru', 'ürün', 'tavsiye', 'eder']","['ertesi', 'gün', 'gel', '', 'doğru', 'ürün', 'tavsiy', 'eder']"
sorunsuz 2 günde geldi kargo hızı firma hızı baya iyi tavsiye ederim,1,sorunsuz 2 günde geldi kargo hızı firma hızı baya iyi tavsiye ederim,sorunsuz 2 günde geldi kargo hızı firma hızı baya iyi tavsiye ederim,"['sorunsuz', 'günde', 'geldi', 'kargo', 'hızı', 'firma', 'hızı', 'baya', 'iyi', 'tavsiye', 'ederim']","['sorunsuz', 'günde', 'geldi', 'kargo', 'hızı', 'firma', 'hızı', 'baya', 'iyi', 'tavsiye', 'ederim']","['sorunsuz', 'günde', 'gel', 'kargo', 'hız', 'firma', 'hız', 'bay', 'iyi', 'tavsiye', 'eder']","['sorunsuz', 'günde', 'gel', 'kargo', 'hız', 'firma', 'hız', 'bay', 'iyi', 'tavsiy', 'eder']"
Bu para böyle bir ürün şimdi den herkeze tavsiye ediyorum,1,bu para böyle bir ürün şimdi den herkeze tavsiye ediyorum,bu para böyle bir ürün şimdi den herkeze tavsiye ediyorum,"['bu', 'para', 'böyle', 'bir', 'ürün', 'şimdi', 'den', 'herkeze', 'tavsiye', 'ediyorum']","['para', 'böyle', 'bir', 'ürün', 'şimdi', 'den', 'herkeze', 'tavsiye', 'ediyorum']","['para', 'böyle', 'bir', 'ürün', 'şimdi', 'den', '', 'tavsiye', 'et']","['para', 'böyle', 'bir', 'ürün', 'şimdi', 'den', '', 'tavsiy', 'et']"
"Çok kaliteli bir ürün, arkadaşa aldım çok memnu kaldı..",1,"çok kaliteli bir ürün, arkadaşa aldım çok memnu kaldı..","çok kaliteli bir ürün, arkadaşa aldım çok memnu kaldı..","['çok', 'kaliteli', 'bir', 'ürün', 'arkadaşa', 'aldım', 'çok', 'memnu', 'kaldı']","['kaliteli', 'bir', 'ürün', 'arkadaşa', 'aldım', 'memnu', 'kaldı']","['kaliteli', 'bir', 'ürün', 'arkadaş', 'al', 'memnu', 'kal']","['kalit', 'bir', 'ürün', 'arkadaş', 'al', 'memnu', 'kal']"
Tşk ederiz ürün gayet çok iyi.herkese tavsiye ederim,1,tşk ederiz ürün gayet çok iyi.herkese tavsiye ederim,tşk ederiz ürün gayet çok iyi.herkese tavsiye ederim,"['tşk', 'ederiz', 'ürün', 'gayet', 'çok', 'iyiherkese', 'tavsiye', 'ederim']","['tşk', 'ederiz', 'ürün', 'gayet', 'iyiherkese', 'tavsiye', 'ederim']","['', 'eder', 'ürün', 'gayet', '', 'tavsiye', 'eder']","['', 'eder', 'ürün', 'gayet', '', 'tavsiy', 'eder']"
Çok güzel özellikle küt saç kesimlerinde Harika bir ürün iş yerimde severek kullanıyorum teşekkürler,1,çok güzel özellikle küt saç kesimlerinde harika bir ürün iş yerimde severek kullanıyorum teşekkürler,çok güzel özellikle küt saç kesimlerinde harika bir ürün iş yerimde severek kullanıyorum teşekkürler,"['çok', 'güzel', 'özellikle', 'küt', 'saç', 'kesimlerinde', 'harika', 'bir', 'ürün', 'iş', 'yerimde', 'severek', 'kullanıyorum', 'teşekkürler']","['güzel', 'özellikle', 'küt', 'saç', 'kesimlerinde', 'harika', 'bir', 'ürün', 'iş', 'yerimde', 'severek', 'kullanıyorum', 'teşekkürler']","['güzel', 'özellik', 'küt', 'saç', 'kesim', 'harika', 'bir', 'ürün', 'iş', 'yerim', 'severek', 'kullan', 'teşekkür']","['güzel', 'özellik', 'küt', 'saç', 'kesim', 'harika', 'bir', 'ürün', 'iş', 'yerim', 'severek', 'kullan', 'teşekkür']"
Saç traşını 0 numara kusursuz yapıyor. Berber tavsiyesi ile aldım çok memnun kaldım. Teşekkürler,1,saç traşını 0 numara kusursuz yapıyor. berber tavsiyesi ile aldım çok memnun kaldım. teşekkürler,saç traşını 0 numara kusursuz yapıyor. berber tavsiyesi ile aldım çok memnun kaldım. teşekkürler,"['saç', 'traşını', 'numara', 'kusursuz', 'yapıyor', 'berber', 'tavsiyesi', 'ile', 'aldım', 'çok', 'memnun', 'kaldım', 'teşekkürler']","['saç', 'traşını', 'numara', 'kusursuz', 'yapıyor', 'berber', 'tavsiyesi', 'aldım', 'memnun', 'kaldım', 'teşekkürler']","['saç', '', 'numara', 'kusursuz', 'yap', 'berber', 'tavsiye', 'al', 'memnun', 'kal', 'teşekkür']","['saç', '', 'numara', 'kusursuz', 'yap', 'berber', 'tavsiy', 'al', 'memnun', 'kal', 'teşekkür']"
Daha önce almam gerekiyormuş. Çok başarılı bir ürün. Kesinlikle tavsiye ederim.,1,daha önce almam gerekiyormuş. çok başarılı bir ürün. kesinlikle tavsiye ederim.,daha önce almam gerekiyormuş. çok başarılı bir ürün. kesinlikle tavsiye ederim.,"['daha', 'önce', 'almam', 'gerekiyormuş', 'çok', 'başarılı', 'bir', 'ürün', 'kesinlikle', 'tavsiye', 'ederim']","['önce', 'almam', 'gerekiyormuş', 'başarılı', 'bir', 'ürün', 'kesinlikle', 'tavsiye', 'ederim']","['ön', 'al', 'gerek', 'başarılı', 'bir', 'ürün', 'kesinlik', 'tavsiye', 'eder']","['ön', 'al', 'gerek', 'başarılı', 'bir', 'ürün', 'kesinlik', 'tavsiy', 'eder']"
Bu ne ya hiç beklediğim gibi değilmiş Çok Güzel Kesiyor ????????,1,bu ne ya hiç beklediğim gibi değilmiş çok güzel kesiyor ????????,bu ne ya hiç beklediğim gibi değilmiş çok güzel kesiyor ????????,"['bu', 'ne', 'ya', 'hiç', 'beklediğim', 'gibi', 'değilmiş', 'çok', 'güzel', 'kesiyor']","['beklediğim', 'değilmiş', 'güzel', 'kesiyor']","['bekledik', 'değil', 'güzel', 'kes']","['bekledik', 'değil', 'güzel', 'ke']"
Küçük bir makine fakat oldukça güçlü sakalımda çekme ve takılma yapmadı bu fiyata göre oldukça iyi.,1,küçük bir makine fakat oldukça güçlü sakalımda çekme ve takılma yapmadı bu fiyata göre oldukça iyi.,küçük bir makine fakat oldukça güçlü sakalımda çekme ve takılma yapmadı bu fiyata göre oldukça iyi.,"['küçük', 'bir', 'makine', 'fakat', 'oldukça', 'güçlü', 'sakalımda', 'çekme', 've', 'takılma', 'yapmadı', 'bu', 'fiyata', 'göre', 'oldukça', 'iyi']","['küçük', 'bir', 'makine', 'fakat', 'oldukça', 'güçlü', 'sakalımda', 'çekme', 'takılma', 'yapmadı', 'fiyata', 'göre', 'oldukça', 'iyi']","['küçük', 'bir', 'makine', 'fakat', 'oldukça', 'güçlü', 'sakalı', 'çek', 'takıl', 'yap', 'fiyat', 'göre', 'oldukça', 'iyi']","['küçük', 'bir', 'makin', 'fakat', 'oldukça', 'güçlü', 'sakalı', 'çek', 'takıl', 'yap', 'fiyat', 'göre', 'oldukça', 'iyi']"
Ürün kaliteli tavsiye ederim kargo özenli teşekkür ederim.,1,ürün kaliteli tavsiye ederim kargo özenli teşekkür ederim.,ürün kaliteli tavsiye ederim kargo özenli teşekkür ederim.,"['ürün', 'kaliteli', 'tavsiye', 'ederim', 'kargo', 'özenli', 'teşekkür', 'ederim']","['ürün', 'kaliteli', 'tavsiye', 'ederim', 'kargo', 'özenli', 'teşekkür', 'ederim']","['ürün', 'kaliteli', 'tavsiye', 'eder', 'kargo', 'özenli', 'teşekkür', 'eder']","['ürün', 'kalit', 'tavsiy', 'eder', 'kargo', 'özenli', 'teşekkür', 'eder']"
"takılma çekme yok saçı da sakali da çok güzel kesiyor,tavsiye ederim.",1,"takılma çekme yok saçı da sakali da çok güzel kesiyor,tavsiye ederim.","takılma çekme yok saçı da sakali da çok güzel kesiyor,tavsiye ederim.","['takılma', 'çekme', 'yok', 'saçı', 'da', 'sakali', 'da', 'çok', 'güzel', 'kesiyortavsiye', 'ederim']","['takılma', 'çekme', 'yok', 'saçı', 'sakali', 'güzel', 'kesiyortavsiye', 'ederim']","['takıl', 'çek', 'yok', 'saçı', '', 'güzel', '', 'eder']","['takıl', 'çek', 'yok', 'saçı', '', 'güzel', '', 'eder']"
Süper süpet süper herkese tavsiye ediyorum gerçekten çok çok güzel memnun kaldım,1,süper süpet süper herkese tavsiye ediyorum gerçekten çok çok güzel memnun kaldım,süper süpet süper herkese tavsiye ediyorum gerçekten çok çok güzel memnun kaldım,"['süper', 'süpet', 'süper', 'herkese', 'tavsiye', 'ediyorum', 'gerçekten', 'çok', 'çok', 'güzel', 'memnun', 'kaldım']","['süper', 'süpet', 'süper', 'herkese', 'tavsiye', 'ediyorum', 'gerçekten', 'güzel', 'memnun', 'kaldım']","['süper', '', 'süper', 'herkes', 'tavsiye', 'et', 'gerçekten', 'güzel', 'memnun', 'kal']","['süper', '', 'süper', 'herk', 'tavsiy', 'et', 'gerçekten', 'güzel', 'memnun', 'kal']"
Ürün sorunsuz bana ulaştı mükemmel çalışıyor kesinlikle tavsiye ederim??,1,ürün sorunsuz bana ulaştı mükemmel çalışıyor kesinlikle tavsiye ederim??,ürün sorunsuz bana ulaştı mükemmel çalışıyor kesinlikle tavsiye ederim??,"['ürün', 'sorunsuz', 'bana', 'ulaştı', 'mükemmel', 'çalışıyor', 'kesinlikle', 'tavsiye', 'ederim']","['ürün', 'sorunsuz', 'bana', 'ulaştı', 'mükemmel', 'çalışıyor', 'kesinlikle', 'tavsiye', 'ederim']","['ürün', 'sorunsuz', 'bana', 'ulaş', 'mükemmel', 'çalış', 'kesinlik', 'tavsiye', 'eder']","['ürün', 'sorunsuz', 'bana', 'ulaş', 'mükemmel', 'çalış', 'kesinlik', 'tavsiy', 'eder']"
ürün kaliteli satıcıya ulaşım kolay ve müşteri memnuniyeti ön planda,1,ürün kaliteli satıcıya ulaşım kolay ve müşteri memnuniyeti ön planda,ürün kaliteli satıcıya ulaşım kolay ve müşteri memnuniyeti ön planda,"['ürün', 'kaliteli', 'satıcıya', 'ulaşım', 'kolay', 've', 'müşteri', 'memnuniyeti', 'ön', 'planda']","['ürün', 'kaliteli', 'satıcıya', 'ulaşım', 'kolay', 'müşteri', 'memnuniyeti', 'ön', 'planda']","['ürün', 'kaliteli', 'satıcı', 'ulaşım', 'kolay', 'Müşteri', 'memnuniyet', 'ön', 'plan']","['ürün', 'kalit', 'satıcı', 'ulaşım', 'kolay', 'müşteri', 'memnuniyet', 'ön', 'plan']"
"Ürün çok iyi, sıfıra çok yakın kesiyor. Kesinlikle öneriyorum. Fakat kargo süreci 8 gün sürdü.",1,"ürün çok iyi, sıfıra çok yakın kesiyor. kesinlikle öneriyorum. fakat kargo süreci 8 gün sürdü.","ürün çok iyi, sıfıra çok yakın kesiyor. kesinlikle öneriyorum. fakat kargo süreci 8 gün sürdü.","['ürün', 'çok', 'iyi', 'sıfıra', 'çok', 'yakın', 'kesiyor', 'kesinlikle', 'öneriyorum', 'fakat', 'kargo', 'süreci', 'gün', 'sürdü']","['ürün', 'iyi', 'sıfıra', 'yakın', 'kesiyor', 'kesinlikle', 'öneriyorum', 'fakat', 'kargo', 'süreci', 'gün', 'sürdü']","['ürün', 'iyi', 'sıfır', 'yak', 'kes', 'kesinlik', 'öner', 'fakat', 'kargo', 'süreç', 'gün', 'sür']","['ürün', 'iyi', 'sıfır', 'yak', 'ke', 'kesinlik', 'öner', 'fakat', 'kargo', 'süreç', 'gün', 'sür']"
bundan daha iyi bı makine görmedim.saticisina helal olsun ??,1,bundan daha iyi bı makine görmedim.saticisina helal olsun ??,bundan daha iyi bı makine görmedim.saticisina helal olsun ??,"['bundan', 'daha', 'iyi', 'bı', 'makine', 'görmedimsaticisina', 'helal', 'olsun']","['bundan', 'iyi', 'bı', 'makine', 'görmedimsaticisina', 'helal', 'olsun']","['bun', 'iyi', '', 'makine', '', 'helal', 'ol']","['bun', 'iyi', '', 'makin', '', 'helal', 'ol']"
Ürün kaliteli ve çok güzel. Aynı görselde gözüktüğü gibi güvenilir.,1,ürün kaliteli ve çok güzel. aynı görselde gözüktüğü gibi güvenilir.,ürün kaliteli ve çok güzel. aynı görselde gözüktüğü gibi güvenilir.,"['ürün', 'kaliteli', 've', 'çok', 'güzel', 'aynı', 'görselde', 'gözüktüğü', 'gibi', 'güvenilir']","['ürün', 'kaliteli', 'güzel', 'aynı', 'görselde', 'gözüktüğü', 'güvenilir']","['ürün', 'kaliteli', 'güzel', 'aynı', 'görsel', 'gözüktük', 'güvenilir']","['ürün', 'kalit', 'güzel', 'aynı', 'görsel', 'gözüktük', 'güvenilir']"
Sakal tıraşı için harika bir ürün ve motoru çok güçlü,1,sakal tıraşı için harika bir ürün ve motoru çok güçlü,sakal tıraşı için harika bir ürün ve motoru çok güçlü,"['sakal', 'tıraşı', 'için', 'harika', 'bir', 'ürün', 've', 'motoru', 'çok', 'güçlü']","['sakal', 'tıraşı', 'harika', 'bir', 'ürün', 'motoru', 'güçlü']","['sakal', 'tıraş', 'harika', 'bir', 'ürün', 'motor', 'güçlü']","['sakal', 'tıraş', 'harika', 'bir', 'ürün', 'motor', 'güçlü']"
yani aldım gayet güzel hafif ve kullanışlı saç sakal için ideal herkese tavsiye ederim,1,yani aldım gayet güzel hafif ve kullanışlı saç sakal için ideal herkese tavsiye ederim,yani aldım gayet güzel hafif ve kullanışlı saç sakal için ideal herkese tavsiye ederim,"['yani', 'aldım', 'gayet', 'güzel', 'hafif', 've', 'kullanışlı', 'saç', 'sakal', 'için', 'ideal', 'herkese', 'tavsiye', 'ederim']","['aldım', 'gayet', 'güzel', 'hafif', 'kullanışlı', 'saç', 'sakal', 'ideal', 'herkese', 'tavsiye', 'ederim']","['al', 'gayet', 'güzel', 'hafif', 'kullanışlı', 'saç', 'sakal', 'ideal', 'herkes', 'tavsiye', 'eder']","['al', 'gayet', 'güzel', 'hafif', 'kullanışlı', 'saç', 'sakal', 'ideal', 'herk', 'tavsiy', 'eder']"
Fiyatına göre inanılmaz güzel bir performans Kesinlikle tavsiye ediyorum Bir berber olarak,1,fiyatına göre inanılmaz güzel bir performans kesinlikle tavsiye ediyorum bir berber olarak,fiyatına göre inanılmaz güzel bir performans kesinlikle tavsiye ediyorum bir berber olarak,"['fiyatına', 'göre', 'inanılmaz', 'güzel', 'bir', 'performans', 'kesinlikle', 'tavsiye', 'ediyorum', 'bir', 'berber', 'olarak']","['fiyatına', 'göre', 'inanılmaz', 'güzel', 'bir', 'performans', 'kesinlikle', 'tavsiye', 'ediyorum', 'bir', 'berber', 'olarak']","['fiyat', 'göre', 'inanılmaz', 'güzel', 'bir', 'performans', 'kesinlik', 'tavsiye', 'et', 'bir', 'berber', 'olarak']","['fiyat', 'göre', 'inanılmaz', 'güzel', 'bir', 'performan', 'kesinlik', 'tavsiy', 'et', 'bir', 'berber', 'olarak']"
Sorunsuz bir alışveriş oldu ürün gayet kullanışlı bir ürün,1,sorunsuz bir alışveriş oldu ürün gayet kullanışlı bir ürün,sorunsuz bir alışveriş oldu ürün gayet kullanışlı bir ürün,"['sorunsuz', 'bir', 'alışveriş', 'oldu', 'ürün', 'gayet', 'kullanışlı', 'bir', 'ürün']","['sorunsuz', 'bir', 'alışveriş', 'oldu', 'ürün', 'gayet', 'kullanışlı', 'bir', 'ürün']","['sorunsuz', 'bir', 'alışveriş', 'oldu', 'ürün', 'gayet', 'kullanışlı', 'bir', 'ürün']","['sorunsuz', 'bir', 'alışveriş', 'oldu', 'ürün', 'gayet', 'kullanışlı', 'bir', 'ürün']"
Mükemmel ürün kesinlikle parasının karşılığını fazlasıyla veriyor,1,mükemmel ürün kesinlikle parasının karşılığını fazlasıyla veriyor,mükemmel ürün kesinlikle parasının karşılığını fazlasıyla veriyor,"['mükemmel', 'ürün', 'kesinlikle', 'parasının', 'karşılığını', 'fazlasıyla', 'veriyor']","['mükemmel', 'ürün', 'kesinlikle', 'parasının', 'karşılığını', 'fazlasıyla', 'veriyor']","['mükemmel', 'ürün', 'kesinlik', 'para', 'karşılık', 'fazlasıyla', 'ver']","['mükemmel', 'ürün', 'kesinlik', 'para', 'karşılık', 'fazlasıyla', 'ver']"
sakal kesmek için almıştım ancak bu pandemi zamanında saçımı dahi acıtmadan harika bir şekilde kesti,1,sakal kesmek için almıştım ancak bu pandemi zamanında saçımı dahi acıtmadan harika bir şekilde kesti,sakal kesmek için almıştım ancak bu pandemi zamanında saçımı dahi acıtmadan harika bir şekilde kesti,"['sakal', 'kesmek', 'için', 'almıştım', 'ancak', 'bu', 'pandemi', 'zamanında', 'saçımı', 'dahi', 'acıtmadan', 'harika', 'bir', 'şekilde', 'kesti']","['sakal', 'kesmek', 'almıştım', 'ancak', 'pandemi', 'zamanında', 'saçımı', 'dahi', 'acıtmadan', 'harika', 'bir', 'şekilde', 'kesti']","['sakal', 'kesmek', 'al', 'ancak', '', 'zamanında', 'saçı', 'dahi', 'acıtmadan', 'harika', 'bir', 'şekil', 'kes']","['sakal', 'kesmek', 'al', 'ancak', '', 'zamanında', 'saçı', 'dahi', 'acıtmadan', 'harika', 'bir', 'şekil', 'ke']"
Hızlı ve güvenli Bı alışveriş oldu üründe gayet güzel biz memnunuz teşekkürler,1,hızlı ve güvenli bı alışveriş oldu üründe gayet güzel biz memnunuz teşekkürler,hızlı ve güvenli bı alışveriş oldu üründe gayet güzel biz memnunuz teşekkürler,"['hızlı', 've', 'güvenli', 'bı', 'alışveriş', 'oldu', 'üründe', 'gayet', 'güzel', 'biz', 'memnunuz', 'teşekkürler']","['hızlı', 'güvenli', 'bı', 'alışveriş', 'oldu', 'üründe', 'gayet', 'güzel', 'memnunuz', 'teşekkürler']","['hızlı', 'güvenli', '', 'alışveriş', 'oldu', 'ürün', 'gayet', 'güzel', 'memnun', 'teşekkür']","['hızlı', 'güvenli', '', 'alışveriş', 'oldu', 'ürün', 'gayet', 'güzel', 'memnun', 'teşekkür']"
Güzel ürün 1 günde elime ulaştı hızlı kargo teşekkür ederim,1,güzel ürün 1 günde elime ulaştı hızlı kargo teşekkür ederim,güzel ürün 1 günde elime ulaştı hızlı kargo teşekkür ederim,"['güzel', 'ürün', 'günde', 'elime', 'ulaştı', 'hızlı', 'kargo', 'teşekkür', 'ederim']","['güzel', 'ürün', 'günde', 'elime', 'ulaştı', 'hızlı', 'kargo', 'teşekkür', 'ederim']","['güzel', 'ürün', 'günde', 'elim', 'ulaş', 'hızlı', 'kargo', 'teşekkür', 'eder']","['güzel', 'ürün', 'günde', 'elim', 'ulaş', 'hızlı', 'kargo', 'teşekkür', 'eder']"
Ense ve sakal tıraşı için mükemmel bir cihaz. Sakalı 1 günlükmüş uzunluğunda kesti.,2,ense ve sakal tıraşı için mükemmel bir cihaz. sakalı 1 günlükmüş uzunluğunda kesti.,ense ve sakal tıraşı için mükemmel bir cihaz. sakalı 1 günlükmüş uzunluğunda kesti.,"['ense', 've', 'sakal', 'tıraşı', 'için', 'mükemmel', 'bir', 'cihaz', 'sakalı', 'günlükmüş', 'uzunluğunda', 'kesti']","['ense', 'sakal', 'tıraşı', 'mükemmel', 'bir', 'cihaz', 'sakalı', 'günlükmüş', 'uzunluğunda', 'kesti']","['ense', 'sakal', 'tıraş', 'mükemmel', 'bir', 'cihaz', 'sakalı', 'günlük', 'uzunluk', 'kes']","['ens', 'sakal', 'tıraş', 'mükemmel', 'bir', 'cihaz', 'sakalı', 'günlük', 'uzunluk', 'ke']"
